,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,id,mood
35,0.466,0.272,123.889,0.0864,0.00666,0.35,0.745,231920,-7.62,0.303,3m6KkYKdnbffMpGd9Pm9FP,0
36,0.981,0.386,134.007,0.06,0.0171,1.07e-05,0.58,195667,-2.603,0.861,1bx7OUl2UmAnA5oZkm9If7,0
37,0.664,0.133,104.56,0.0371,0.000389,0.000655,0.279,237027,-8.851,0.49,0ancVQ9wEcHVd0RrGICTE4,0
38,0.726,0.0606,119.991,0.182,0.000883,1.1e-05,0.822,195652,-4.974,0.837,6xL1QFBJoyhGKhVOFrHkhX,0
39,0.938,0.167,91.455,0.0456,0.0179,0.0,0.618,269000,-3.442,0.875,3ZOEytgrvLwQaqXreDs2Jx,0
40,0.906,0.113,172.977,0.0735,0.00272,9.26e-06,0.517,211520,-3.677,0.731,3l9CW99AHtExIRV4hW2N5m,0
41,0.881,0.0334,147.987,0.0567,4.19e-05,0.473,0.547,154293,-4.114,0.693,4idmN1WLCyvnQGnPWvszcf,0
42,0.955,0.253,200.166,0.149,0.000159,0.00179,0.455,120697,-3.597,0.9,3TWB6wnyoEpqeBwLYSY0O0,0
43,0.956,0.278,119.991,0.0542,0.00222,0.0,0.642,208253,-2.282,0.66,7859pcBwSTJ8jerSu6lh9C,0
44,0.818,0.179,136.025,0.0457,0.0182,0.0,0.56,200737,-4.873,0.398,7MF8YHMgxCM4nVHCckAn6U,0
45,0.686,0.0781,161.977,0.105,0.000481,0.0,0.51,189360,-3.437,0.822,5v8NOFjQCxBxpCNlul11Mg,0
46,0.759,0.077,91.123,0.101,0.034,0.0,0.51,207142,-4.854,0.237,2UKMqNCVsHrAYzBZMA0rxL,0
47,0.742,0.11,91.959,0.0716,0.0722,0.0199,0.7,302000,-6.777,0.197,2oaK4JLVnmRGIO9ytBE1bt,0
48,0.752,0.353,138.012,0.037,0.000702,0.0,0.539,239147,-4.35,0.53,3mSikHaYxiUSMIzM4wOyQn,0
49,0.852,0.0935,101.968,0.046,0.0175,0.306,0.425,321040,-5.607,0.512,0N5aQPSHQAADNV3VbRH7Ph,0
50,0.435,0.0952,119.057,0.0604,0.479,0.553,0.832,259093,-9.598,0.279,5N7d8uxMeuO4HdncbkuhSB,0
51,0.905,0.136,153.398,0.054,0.00172,0.0104,0.542,203347,-5.653,0.374,0ntQJM78wzOLVeCUAW7Y45,0
52,0.789,0.0753,129.802,0.0676,0.00178,0.00708,0.674,121160,-6.903,0.918,1FTSo4v6BOZH9QxKc3MbVM,0
53,0.824,0.0922,89.972,0.0413,0.000127,0.000311,0.501,236427,-7.25,0.57,1060gzllf4b0UETAXisR5l,0
54,0.865,0.237,120.011,0.0472,0.0435,0.00559,0.671,209333,-5.735,0.865,2zrIyIdqafYozfsgiMY0Ae,0
55,0.839,0.576,116.947,0.102,0.00125,0.0,0.397,191293,-6.674,0.764,7v9Ne4758aGFfFc5avh89h,0
56,0.932,0.0476,109.989,0.0376,1.61e-05,0.0188,0.575,172600,-2.72,0.659,1edoYv7eYCeTzzQqFjvsDu,0
57,0.938,0.0973,94.526,0.0386,0.0135,0.0,0.629,176803,-4.516,0.86,65TFv7X6VW3lJC6kadjk8u,0
58,0.836,0.193,119.751,0.0446,0.000446,0.0,0.558,149048,-4.024,0.446,4c5NmcWUEjkIalsXJUsNqw,0
59,0.914,0.325,132.006,0.0413,0.000124,0.0142,0.517,174853,-3.471,0.476,6nZpUrYPnt1JHCYwtt4wrf,0
60,0.957,0.187,135.013,0.0529,0.00298,0.0,0.504,205627,-2.657,0.676,5ynWvN3bQymHVThxutO4hG,0
61,0.736,0.103,114.218,0.0475,0.0204,0.000397,0.354,230773,-4.222,0.211,2z1oTtp1Pee6NyoOlVum0e,0
62,0.947,0.212,157.987,0.144,0.000365,0.0,0.467,262613,-3.393,0.763,6cXxbf1eyxNDkjbGEawVFV,0
63,0.912,0.0719,107.655,0.0369,0.365,2.09e-05,0.633,193200,-7.31,0.843,4yvLuzn3JWfasEnHFVBbdM,0
64,0.72,0.0466,121.864,0.0623,5.59e-05,0.836,0.404,258467,-9.18,0.475,4qMzPtAZe0C9KWpWIzvZAP,0
65,0.81,0.322,165.269,0.0439,0.0164,0.107,0.396,314747,-4.242,0.252,0BS1mTb6ZvZcVm217dyWFU,0
66,0.804,0.0619,120.001,0.0612,3.79e-05,0.85,0.627,194000,-6.196,0.526,2IJWmSFNRb2Ci8LB3wNbQV,0
67,0.819,0.185,139.784,0.051,0.000484,0.0412,0.422,259813,-7.698,0.598,0R194013qdfjeFiap76Nzs,0
68,0.72,0.62,147.669,0.0567,0.0123,1.75e-05,0.277,280103,-7.515,0.576,7LHNVffwgV881YTVbOFZRn,0
69,0.8,0.329,83.81,0.0523,0.00977,3.08e-06,0.391,210851,-2.761,0.398,11FvComd16zZX61DrlP3o1,0
70,0.912,0.363,104.522,0.0618,0.0173,0.0,0.458,257760,-3.666,0.611,6EsBn1Md8C5YdbCzvwvZq8,0
71,0.913,0.0671,145.522,0.074,0.000189,0.00142,0.462,252107,-4.298,0.72,1QZFn6QUNHfCp8s06C91hw,0
72,0.931,0.412,135.826,0.0612,0.00126,0.00881,0.459,200693,-5.024,0.419,20j7B6mL9gnNvG3ic6Vwh5,0
73,0.604,0.477,167.719,0.0495,0.000218,0.000579,0.577,263440,-5.703,0.637,6tsojOQ5wHaIjKqIryLZK6,0
74,0.522,0.402,176.092,0.105,0.00294,0.0,0.405,149507,-7.066,0.459,6DTHkeVHU2CCB3601pJoHM,0
75,0.901,0.538,105.999,0.0935,0.0234,0.0,0.626,164307,-5.075,0.731,41ZM2SdRn6KKqeHGjitBYD,0
76,0.94,0.188,130.198,0.0696,0.000769,9.42e-05,0.366,255627,-5.119,0.369,5FZxsHWIvUsmSK1IAvm2pp,0
77,0.959,0.028,172.984,0.0431,0.000917,0.0,0.433,269373,-4.04,0.365,7x8dCjCr0x6x2lXKujYD34,0
78,0.946,0.294,109.94,0.0512,0.00102,0.00428,0.568,194853,-5.092,0.615,2mlTLwLY2lyRvzFrwguxIZ,0
79,0.737,0.0758,138.034,0.173,0.0076,0.0,0.745,198018,-5.657,0.851,4lRG10ylRu2X4js7ZxK06Y,0
80,0.87,0.118,96.006,0.189,0.0876,1.36e-06,0.565,194907,-5.299,0.363,1nUqrf8MMTeEhPQQpXHS11,0
81,0.892,0.228,85.99,0.071,0.00261,0.000519,0.532,178795,-4.698,0.808,5Md4gGCtM6HV8eR2lQv8F2,0
82,0.781,0.11,116.793,0.0364,0.00136,0.000735,0.516,235587,-4.004,0.897,7oXRMDUzBPekkLRTJhSGvC,0
83,0.884,0.466,146.511,0.031,0.000138,0.0,0.538,233027,-3.251,0.736,5vfjUAhefN7IjHbTvVCT4Z,0
84,0.913,0.346,96.184,0.0437,0.0193,8.59e-06,0.556,282160,-2.36,0.73,6vODhpvfWwdsO0i9MBWnEq,0
85,0.705,0.0858,106.301,0.0452,0.000456,5.48e-06,0.536,238493,-4.241,0.454,2vx5Dc3Zxtd5yGDlh2pAAz,0
86,0.875,0.117,169.152,0.199,0.0341,0.0,0.348,202133,-4.758,0.407,2zzLRQ78kKfPTx8FJQCdC2,0
87,0.802,0.387,119.25,0.0392,0.25,0.0,0.491,248907,-7.106,0.472,77NNZQSqzLNqh2A9JhLRkg,0
88,0.656,0.0631,123.207,0.0381,0.00174,0.0,0.678,257053,-6.41,0.485,26D1PRJjD9Jj1JGRk88KVc,0
89,0.811,0.0677,123.048,0.0431,0.00105,2.08e-06,0.71,199200,-4.079,0.914,3jUTjCISntIUFL8jnAjzgc,0
90,0.735,0.123,122.979,0.0384,0.00397,0.0205,0.831,260507,-6.254,0.97,5EYdTPdJD74r9EVZBztqGG,0
91,0.943,0.317,140.042,0.0512,0.0056,0.000587,0.532,294800,-4.549,0.371,1rSo624QuuCteNxAzsU3SV,0
92,0.897,0.0901,75.529,0.0756,9.67e-05,0.000474,0.503,192039,-5.213,0.621,7pAl6xhxJtpuekgzY1dmlE,0
93,0.752,0.304,101.011,0.0261,0.000264,2.28e-05,0.549,188277,-5.933,0.656,0RLc0uoIsPFdIgwIEVxaXI,0
94,0.792,0.106,97.998,0.035,0.000383,0.000259,0.547,234093,-5.645,0.395,66Avcq6c51vcMGXLzHH5d7,0
95,0.883,0.868,125.02,0.0341,0.00114,0.041,0.555,316718,-3.426,0.507,383QXk8nb2YrARMUwDdjQS,0
96,0.965,0.11,136.018,0.05,6.94e-06,0.000402,0.408,218000,-4.232,0.349,2UKARCqDrhkYDoVR4FN5Wi,0
97,0.732,0.062,92.057,0.0795,0.0139,2.61e-06,0.641,262107,-7.57,0.763,47StfXJOnGLhYfMEWgoTiX,0
98,0.962,0.294,161.292,0.0659,0.0103,0.00103,0.361,174027,-2.928,0.927,5wHNRDvNDTvAvNUllq5v7R,0
99,0.814,0.216,108.016,0.0558,0.229,0.00676,0.658,183602,-4.631,0.69,3MjrueDQKVr6xDDseZwhEd,0
0,0.792,0.0985,110.014,0.0304,0.00154,0.856,0.692,167083,-4.963,0.137,3sQaPmmVZ7vNC64ST8sLTf,0
1,0.515,0.589,119.928,0.116,0.199,0.862,0.429,260063,-12.581,0.0795,6onDP5pnrrmbtju7VTNz55,0
2,0.54,0.149,132.972,0.0327,0.12,0.882,0.658,253534,-10.152,0.183,4p4cH6eGdvOudqUzNLa9ap,0
3,0.455,0.0819,170.068,0.0469,0.008,0.121,0.615,160941,-9.625,0.377,7Exe0mVrJblSNEiRuBI96A,0
4,0.616,0.104,120.078,0.0389,0.0823,0.786,0.591,134671,-11.019,0.0936,2GdXVqIRleFYKJAiikfI4v,0
5,0.467,0.0878,139.973,0.0421,0.00154,0.847,0.579,250404,-9.556,0.112,78VJCqeZzV3iNmXm5hhovQ,0
6,0.778,0.128,100.363,0.027,0.459,0.925,0.617,127920,-8.871,0.152,0bXpmJyHHYPk6QBFj25bYF,0
7,0.39,0.127,100.008,0.0287,0.00572,0.916,0.598,209923,-9.782,0.202,6LBWoasSTImUnGUoweyXL5,0
8,0.632,0.124,171.755,0.0476,0.11,0.811,0.533,314587,-11.883,0.142,7bUGrBJEkLdtCIDYfT5abh,0
9,0.445,0.127,140.169,0.0376,0.883,0.924,0.311,281747,-17.413,0.376,4QhBvbzk0ti2ClGrd6miSc,0
10,0.446,0.0838,89.875,0.0952,0.0101,0.376,0.539,277333,-10.306,0.09,42gXGDSf4wPAT2OYKD9WB8,0
11,0.524,0.0886,115.017,0.0475,0.551,0.815,0.734,242639,-9.481,0.198,1zdLuu3rZH2VG4dvJ7dniW,0
12,0.328,0.0906,135.001,0.0812,0.749,0.894,0.553,258504,-13.52,0.785,5d3qZ4xZv0inQK292Mmnhh,0
13,0.642,0.169,104.856,0.439,0.57,0.303,0.805,250338,-5.589,0.658,6rcBB3zLdFn6RjEzienOdm,0
14,0.799,0.197,103.981,0.0313,0.0346,0.937,0.509,323816,-8.199,0.489,5gBXhnqKKWcReAnRUOw65v,0
15,0.656,0.252,97.992,0.0436,0.114,0.852,0.714,210862,-6.094,0.428,0Z9ofr2DJYQ6lSlVUcM4ZQ,0
16,0.49,0.0751,107.965,0.275,0.918,0.376,0.691,244506,-12.883,0.0385,37uqBNIiYgCuSF0ppMWzVx,0
17,0.613,0.0809,122.002,0.133,0.1,0.665,0.841,248862,-8.231,0.479,2lO774u95zrlPunRBDtyRA,0
18,0.376,0.0409,100.028,0.17,0.385,0.839,0.846,196232,-13.698,0.605,7l3MZPlCyfO7wXXH2X0JRE,0
19,0.765,0.0952,113.009,0.0358,0.262,0.901,0.761,261285,-7.075,0.577,1LuMGOFh3gxyeZVERdgYnt,0
20,0.667,0.144,90.02,0.0683,0.0286,0.00029,0.676,215998,-7.147,0.398,3U4uwhIYDpatmcyBEqy9QI,0
21,0.683,0.0667,93.998,0.0557,0.299,0.964,0.632,256731,-9.513,0.0409,1smXxNGuz40eZi5LX8pmI1,0
22,0.366,0.582,115.068,0.148,0.677,0.0786,0.71,187826,-12.68,0.321,479xhIMpUhIw1cjUXe6OO4,0
23,0.527,0.0739,179.974,0.0443,0.718,0.715,0.585,208000,-9.972,0.105,4H25DIvtlGNNpebcxNqJZE,0
24,0.756,0.289,119.998,0.0418,0.00442,0.808,0.705,269939,-6.582,0.203,4XpLwRcfumQsZ0IxDNOP3f,0
25,0.46,0.0902,96.848,0.0255,0.561,0.942,0.585,174613,-9.175,0.103,7C94SNGLSbtOm16l82xy6F,0
26,0.705,0.519,97.009,0.164,0.456,0.0593,0.525,259241,-7.331,0.616,3NBZZPLWVWSBlguC8TEk61,0
27,0.662,0.393,179.97,0.195,0.234,0.809,0.642,283213,-9.153,0.106,0UgXbcumMvXTdIpUMXRfRP,0
28,0.718,0.0981,129.956,0.0394,0.352,0.552,0.781,242133,-6.559,0.154,4LUu3bMpuxHjwPLj84rNSx,0
29,0.575,0.103,129.953,0.0343,0.478,0.128,0.707,262013,-6.629,0.216,1D17MLY1m8MUpbMveEljMN,0
30,0.456,0.0878,111.016,0.0919,0.663,0.0376,0.727,195737,-10.577,0.294,76hxD9aWoH3DRlxrIvLWLZ,0
31,0.538,0.104,123.979,0.0397,0.0305,0.651,0.727,264293,-9.032,0.6,1RMXNaUZ8AdmANVYyNjNum,0
32,0.585,0.161,121.999,0.0308,0.00116,0.895,0.692,173320,-6.456,0.667,1kFu2TuUmsARXGYc2eYXiC,0
33,0.785,0.0941,110.004,0.0422,0.51,0.866,0.714,269500,-6.878,0.934,6mnp6LoK6oeredCPjVdBut,0
34,0.507,0.102,109.121,0.0285,0.758,0.237,0.507,158981,-13.305,0.179,1qzOcN3cn0WHiPOQRWnu3w,0
35,0.844,0.0827,119.042,0.0374,0.395,0.933,0.64,352247,-8.412,0.364,2hNTfrAILBLesbPootV83e,0
36,0.59,0.0685,117.006,0.0464,0.23,0.834,0.693,475480,-7.232,0.237,6BbFwwHnzY74a8GOsDg8Sn,0
37,0.423,0.0924,124.962,0.0369,0.837,0.966,0.441,268893,-9.435,0.159,0f3G1ecfRIffW1qhQt1lEG,0
38,0.739,0.171,124.75,0.0718,0.0237,0.607,0.529,237547,-9.578,0.138,5DAjrJqXqYtgr67pVhmUeR,0
39,0.653,0.112,117.999,0.0396,0.0281,0.858,0.656,307328,-11.883,0.199,3AW6V6zWH45jI7eNPnSDfT,0
40,0.584,0.16,128.012,0.0287,0.224,0.714,0.447,165516,-7.308,0.181,3J2MMi0dCUdUBzzKQ0ipXB,0
41,0.394,0.0988,81.988,0.0641,0.513,0.00155,0.416,237008,-9.269,0.131,1msfqzqHggvi1mlCT4Z7O5,0
42,0.422,0.395,150.026,0.0707,0.26,0.223,0.791,248000,-7.737,0.499,5HEpukkNnxdPAV9zsgDLOx,0
43,0.647,0.0667,124.997,0.126,0.0429,0.815,0.822,493511,-12.897,0.438,7I3BOAERAtfQG3Fkht5Kpi,0
44,0.557,0.368,94.484,0.0392,0.00122,0.00376,0.477,303987,-8.593,0.0737,7G9nspS5rMqbRY0XEx2s0q,0
45,0.515,0.102,127.001,0.0646,0.159,0.769,0.755,478183,-11.413,0.27,1UmLoPCg5kLMm3ROuHrZey,0
46,0.202,0.0782,211.863,0.231,0.772,0.897,0.726,365695,-14.214,0.682,6FwRu39rhgBnYzZSXDSmLH,0
47,0.387,0.0818,111.98,0.279,0.0755,0.861,0.723,353814,-12.039,0.133,2p6LQRALG9o3qKq8gOWX9f,0
48,0.593,0.126,123.998,0.0298,0.00771,0.275,0.603,435484,-10.971,0.0986,0ZbsibQtb9M2N33y6FcyFh,0
49,0.426,0.108,90.018,0.0392,0.00186,0.081,0.605,216000,-15.043,0.0708,3pmYKQY4NGqFIbAbB3YUL4,0
50,0.692,0.098,131.694,0.0702,0.000696,0.766,0.591,178939,-7.817,0.547,1DH7pP36cZtRWRAynNSLeC,0
51,0.461,0.103,98.998,0.0275,0.476,0.897,0.587,234688,-11.968,0.223,00DHieiDnak3hkU6Qa4yJQ,0
52,0.39,0.0489,118.02,0.0976,0.071,0.747,0.881,440119,-10.675,0.607,1uBYrPtYmZ8cm3OYVBvSjk,0
53,0.468,0.0794,121.001,0.0465,0.0543,0.804,0.826,468837,-8.595,0.203,5PRpTOhskrzzzPBUPXBltC,0
54,0.681,0.0794,123.986,0.0317,0.0109,0.883,0.619,327097,-10.211,0.112,20KQjkNa6cZE8Mu5j6dSSS,0
55,0.549,0.141,79.999,0.275,0.262,1.86e-06,0.61,240000,-8.98,0.38,6o5CnQ64kggC3sEnIUpEl5,0
56,0.637,0.171,171.983,0.0509,0.21,0.704,0.709,262326,-8.392,0.817,4aOxQCKwOPVU2GICoIedp5,0
57,0.532,0.359,171.957,0.226,0.338,0.883,0.591,203721,-7.509,0.254,4Z1xD1Wr3EF2uqgEODVPyH,0
58,0.584,0.351,180.065,0.0667,0.268,0.606,0.605,228343,-8.083,0.58,3nKx86fcs8MYMydill0Sya,0
59,0.495,0.109,125.996,0.0537,0.000806,0.772,0.571,413219,-7.927,0.074,7yRE5KBKSrntclxCKnlgYs,0
60,0.775,0.0812,123.977,0.0437,0.0127,0.88,0.64,282645,-5.901,0.0973,2pAYGpDwOHSeBBBZttCXbs,0
61,0.433,0.0553,99.996,0.0557,0.112,0.0233,0.833,230881,-7.003,0.256,5k88XtZ44NmyrrHdZ4Aeev,0
62,0.83,0.115,124.009,0.0395,0.21,0.836,0.646,240000,-8.398,0.137,7LihoPgTF9hnxMh9lRTNkA,0
63,0.575,0.0877,126.012,0.0693,0.000425,0.891,0.836,465713,-8.584,0.896,4aQKtoGs97E1juXc6SPWAd,0
64,0.845,0.111,128.016,0.0804,0.00226,0.289,0.775,397500,-5.167,0.636,64Lleq4Cgz6lV0GZZnBi96,0
65,0.433,0.198,113.508,0.0419,0.0123,0.143,0.45,254118,-10.839,0.0393,3gE9U5mNrJewDXN1wU7d8x,0
66,0.489,0.106,92.992,0.0353,0.716,0.743,0.568,230342,-11.22,0.0387,287rRN24HNx4pNs0rwNQt8,0
67,0.469,0.0724,176.934,0.0784,0.024,0.179,0.55,238341,-10.167,0.178,4brK3gpPjXArNUlU1hBXTe,0
68,0.486,0.0753,123.981,0.1,0.000632,0.534,0.811,418117,-10.434,0.947,1TGCzulTWEOwqpp77eD6CD,0
69,0.417,0.0696,92.008,0.0581,0.0907,0.224,0.839,251394,-10.371,0.601,510dqT7HRHtKYysY7CGEmL,0
70,0.592,0.119,99.996,0.136,0.0365,0.86,0.817,200567,-10.996,0.764,2QEEEOMWUxkrgFfr7DqwBb,0
71,0.665,0.0994,111.188,0.0547,0.124,0.887,0.793,250653,-12.347,0.661,3wMH1fDMAiXkd116i6CmFp,0
72,0.523,0.116,111.982,0.0556,0.298,0.829,0.884,398376,-10.747,0.563,1DVyQeQEHahLABVhsGzWXJ,0
73,0.528,0.11,98.046,0.0262,0.407,0.677,0.692,144490,-9.514,0.703,35e7wuY5cGvECEa2rSktDk,0
74,0.683,0.157,132.582,0.0282,0.0281,0.631,0.671,225992,-9.331,0.317,5dJqwt6VSRxS8d2anUAhVc,0
75,0.373,0.0873,118.989,0.0695,0.0118,0.614,0.758,361307,-16.452,0.463,2IO8CTPvNOr5FwM6j69CrA,0
76,0.303,0.09,103.553,0.0308,0.776,0.948,0.595,187868,-14.886,0.0999,6jdhWs6kZzJqNkyWyo4sQE,0
77,0.308,0.109,108.124,0.0414,0.908,0.943,0.474,202000,-13.641,0.0361,6Jk2v09KNcSRHr2qj1vi9c,0
78,0.422,0.099,100.023,0.109,0.891,0.696,0.602,274668,-14.759,0.0459,6wjKfPVUkSvZHbt9iN7fug,0
79,0.454,0.344,90.034,0.0435,0.13,0.235,0.631,244243,-13.646,0.0457,3tI6zVTC0gBjOi6FvUN4we,0
80,0.831,0.0695,142.034,0.0694,0.254,0.507,0.802,195216,-4.682,0.455,5U0Yohzawdf3RERzPSHmzZ,0
81,0.519,0.125,100.01,0.0661,0.000191,0.885,0.326,254320,-7.663,0.152,5USUB23qB8ryBfC8SCsxHY,0
82,0.576,0.0811,115.227,0.0485,0.000202,0.894,0.239,143913,-11.434,0.0396,405OiJ7G9xZ8oZPaiJtElJ,0
83,0.62,0.118,104.95,0.0698,0.168,0.000989,0.733,226857,-8.556,0.122,5ffwgrvw4tVlhFcI8efviN,0
84,0.59,0.103,111.993,0.0458,0.364,0.769,0.726,216428,-8.367,0.355,5vnNLhEi7qpC2sXWvSQGOg,0
85,0.483,0.134,96.029,0.0359,0.000196,0.557,0.694,220000,-7.157,0.132,2sKTYRCgUHXmIhI2hoBuZE,0
86,0.724,0.133,122.993,0.0428,0.0889,0.82,0.718,268451,-6.679,0.334,5q4dvuNkkunUT9gcfqkE05,0
87,0.702,0.074,121.039,0.0444,0.0136,0.924,0.712,359227,-7.129,0.655,3xbonQCBlfpOis6FTdfYfT,0
88,0.281,0.11,159.794,0.161,0.17,0.000267,0.522,240750,-11.425,0.191,6TNRjp1NSJTbehg6GtaAvJ,0
89,0.628,0.193,125.043,0.0752,0.0358,0.00898,0.612,228155,-6.754,0.434,1pqOdQkmYdM7AUM1q3L1mN,0
90,0.713,0.633,150.066,0.0584,0.245,0.659,0.726,193600,-8.425,0.488,3UFBzICFstCzMAy9SgLbJr,0
91,0.603,0.156,75.058,0.0309,0.0026,0.0125,0.427,184000,-7.812,0.178,64LxDEEDDtQfb4bTadJsyX,0
92,0.655,0.103,171.664,0.0769,0.302,0.0679,0.363,273904,-6.582,0.0581,6MSd4awjGA81m2HP863Ip3,0
93,0.743,0.115,81.01,0.323,0.0829,0.0916,0.662,173667,-6.769,0.148,3SW9dZS4Oj3AEKNpdTi1VH,0
94,0.5,0.0896,119.998,0.0321,0.0161,0.698,0.663,216131,-11.933,0.237,72Bjz56peBcn2Dz9Is4rkv,0
95,0.614,0.0961,85.027,0.0411,0.213,2.1e-06,0.485,183893,-5.701,0.221,0aCsQvJk7VXZ6HCHfV5vtj,0
96,0.691,0.0995,119.996,0.0343,0.454,0.75,0.592,341594,-9.03,0.234,3OhwaetItNaTXxn0mr9SkN,0
97,0.802,0.18,92.984,0.0566,0.0184,0.902,0.704,201290,-6.666,0.198,2153LlVtgMJwSRdcLop21z,0
98,0.857,0.0788,125.991,0.0638,0.225,0.706,0.843,203819,-4.238,0.186,4XEg8Ej8iOEpFaEqjaqe44,0
99,0.488,0.113,119.973,0.0492,0.755,0.668,0.736,313823,-7.658,0.641,4aWNqZle2VyNW19yZ8MbLN,0
0,0.148,0.0961,143.578,0.0339,0.603,0.848,0.413,87500,-19.361,0.0574,04JXK1GuqYWZHaRPpdIiv9,2
1,0.0367,0.108,139.73,0.0398,0.701,0.823,0.166,85714,-26.202,0.135,4525Hx49ZxzUeeaKrlYlaS,2
2,0.0551,0.125,87.327,0.038,0.937,0.855,0.222,102857,-24.982,0.0377,23rqBG7JfLr8TUXuuCGhma,2
